time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange1,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
98.40000000000001,1800,103.8131952828755,1000,285.0930518778864,1254135.60506868,0.04999740007353713,24.98542339985343,1397.562621396839,800,283.928584455859,1130683.647799035,0.0499298116652009,24.95470079176796,1293.749426113963,0.4999740007353712,0.499298116652009,0.0004,0.0007499954089117054,0.0004152527811315022,-0.001224870578216297,-0.03490180859581216,-3.501554601825774e-11,1.036823960021138e-10,-1.546140993013978e-10,3.969697834338426e-15,2.123301534595612e-15,6.085409953726639e-15,0,0
100.8,1800,103.7932770961943,1000,285.0922513040463,1254049.871861264,0.04999732250509849,24.98538688774819,1397.488803911287,800,283.9279588155039,1130581.79347512,0.04992820201668256,24.95389783507308,1293.695526815093,0.4999732250509848,0.4992820201668255,0.0004,0.0007495642145207421,0.0004151731083847771,-0.001261382683459544,-0.03570476529068856,1.214175426866859e-10,-4.729372449219227e-11,8.549250196665525e-11,6.489600523629235e-15,1.311450947838466e-15,7.799316747991725e-15,0,0
103.2,1800,103.7721209150009,1000,285.0914553956967,1253964.637724193,0.04999724535804006,24.9853505728923,1397.415420010876,800,283.9273525562485,1130482.009834577,0.04992659410653812,24.95309569980469,1293.643299095875,0.4999724535804005,0.4992659410653812,0.0004,0.0007491463927670029,0.0004150884836600035,-0.001297697539346387,-0.03650690055908257,6.45741238258779e-11,5.275069270282984e-11,1.2732925824821e-10,-7.819699748834452e-15,9.922618282587337e-16,-6.820932707540805e-15,0,0
105.6,1800,103.7498381774897,1000,285.0906644204165,1253879.931265342,0.04999716865655921,24.98531446662933,1397.342494305316,800,283.9267646722024,1130384.189430199,0.04992498784461086,24.9522943433674,1293.592656127826,0.4999716865655921,0.4992498784461086,0.0004,0.0007487412490226088,0.0004149993527099586,-0.001333803802321398,-0.03730825699636853,-1.386979420203716e-10,2.091837814077735e-10,-1.509761204943061e-10,-2.8646789801412e-15,-1.894318035766673e-15,-4.760081218080359e-15,0,0
108,1800,103.7265326691811,1000,285.0898786214181,1253795.778486895,0.04999709242264916,24.98527857927009,1397.270049153806,800,283.9261942199892,1130288.231493917,0.04992338314634824,24.9514937258132,1293.543516484625,0.4999709242264916,0.4992338314634824,0.0004,0.0007483481318770027,0.0004149061306767244,-0.001369691161553277,-0.03810887455056644,-3.319655661471188e-11,3.401510184630752e-10,3.183231456205249e-10,-2.028325424285882e-15,9.020562075079397e-17,-1.942890293094024e-15,0,0
110.4,1800,103.7023010275618,1000,285.089098219222,1253712.202964391,0.04999701667625065,24.98524292016375,1397.198104819955,800,283.9256403147056,1130194.04150487,0.0499217799324393,24.95069380967021,1293.495803792394,0.4999701667625065,0.499217799324393,0.0004,0.0007479664303391492,0.0004148092041102472,-0.001405350267898342,-0.0389087906935579,1.400621840730309e-10,2.892193151637912e-10,6.71207089908421e-10,-3.966011546951975e-15,-7.840950111415168e-16,-4.746203430272544e-15,0,0
112.8,1800,103.6772332154947,1000,285.0883234132251,1253629.22601456,0.04999694143539384,24.98520749776424,1397.126679616933,800,283.9251021261303,1130101.530784219,0.04992017812847487,24.94989455978212,1293.449446401439,0.4999694143539383,0.4992017812847487,0.0004,0.0007475955712115082,0.0004147089328619786,-0.001440772667411494,-0.03970804058164745,7.139533408917487e-11,3.019522409886122e-10,3.819877747446299e-10,-3.996369207781569e-15,2.199629367538591e-15,-1.783295733304158e-15,0,0
115.2,1800,103.651412961163,1000,285.08755438316,1253546.866851239,0.04999686671633023,24.98517231969208,1397.055790042491,800,283.9245788752003,1130010.616118417,0.04991857766463122,24.94909594315887,1293.404377081328,0.4999686671633023,0.4991857766463121,0.0004,0.0007472350166506257,0.0004146056518446521,-0.00147595073957163,-0.04050665720490443,-2.496562956366688e-10,2.65572452917695e-10,2.546585164964199e-10,-5.390002680294437e-15,2.8796409701215e-15,-2.504940699310509e-15,0,0
117.6,1800,103.6249181702058,1000,285.0867912904584,1253465.142731467,0.04999679253365626,24.98513739279228,1396.985450905106,800,283.9240698307049,1129921.219405918,0.04991697847537367,24.9482979288366,1293.360532734901,0.4999679253365625,0.4991697847537367,0.0004,0.000746884261879204,0.0004144996726808231,-0.001510877639368857,-0.04130467152716832,2.646629582159221e-10,4.165485734120011e-10,6.875779945403337e-10,7.739035107201531e-16,-6.869504964868156e-16,9.020562075079397e-17,0,0
120,1800,103.5978213111978,1000,285.0860342795304,1253384.069091804,0.04999671890042856,24.98510272318833,1396.915675442192,800,283.9235743061972,1129833.267327185,0.04991538049917976,24.94750048774694,1293.317854130995,0.4999671890042856,0.4991538049917975,0.0004,0.0007465428330479571,0.0004143912852447911,-0.001545547243317458,-0.04210211261683483,2.382876118645072e-10,2.710294211283326e-10,7.47604644857347e-10,-3.463158579353198e-15,-1.040834085586084e-15,-4.489464355827977e-15,0,0
122.4,1800,103.5701897690653,1000,285.0852834789301,1253303.659673571,0.04999664582827001,24.98506831633188,1396.846475428163,800,283.9230916571562,1129746.691041212,0.04991378367828444,24.94670359259662,1293.276285659097,0.4999664582827,0.4991378367828443,0.0004,0.0007462102852727785,0.0004142807590762613,-0.001579954099767633,-0.04289900776715427,1.455191522836685e-10,-2.546585164964199e-11,1.309672370553017e-10,1.648637823481458e-15,4.232725281383409e-16,2.081668171172169e-15,0,0
124.8,1800,103.542086182277,1000,285.0845390024746,1253223.92664197,0.04999657332747043,24.98503417704988,1396.77786127762,800,283.9226212782819,1129661.425896595,0.04991218795843781,24.94590721775303,1293.235775095343,0.4999657332747043,0.4991218795843781,0.0004,0.0007458862007627467,0.0004141683447291079,-0.0016140933817681,-0.04369538261074268,3.61524143954739e-10,6.893969839438796e-10,1.056832843460143e-09,2.059984127722458e-17,-2.012279232133096e-16,-1.804112415015879e-16,0,0
127.2,1800,103.5135687805432,1000,285.0838009503567,1253144.880705627,0.0499965014070877,24.98500030959201,1396.709842148582,800,283.9221626007821,1129577.411141643,0.04991059328866174,24.9451113391293,1293.196273368039,0.499965014070877,0.4991059328866174,0.0004,0.0007455701869443128,0.0004140542751221728,-0.001647960839633811,-0.0444912612344659,3.119566827081144e-10,1.364242052659392e-10,2.200977178290486e-10,3.455135483276806e-15,-1.873501354054952e-16,3.275157922644212e-15,0,0
