time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
768,1800,100.4102129998814,1000,285.022644384572,1246571.487434897,0.04998957381055476,24.98170956291694,1391.083747643101,800,283.8928440355302,1117100.462144487,0.04949318485502762,24.73656696094343,1290.67353464322,0.4998957381055476,0.4949318485502762,0.0004,0.0007253882771457574,0.0004016408519995257,-0.2530356394203395,4.05634636990726e-10,1.320586306974292e-09,1.753505785018206e-09,-8.696168785071734e-15,7.605027718682322e-15,-9.436895709313831e-16,0,0
770.4,1800,100.40857789765,1000,285.0226136861562,1246568.074645582,0.04998956577460208,24.98170563273751,1391.080928558424,800,283.8928302637759,1117063.980213283,0.04949163014749053,24.73578997064841,1290.672350660774,0.4998956577460207,0.4949163014749053,0.0004,0.000725378805286191,0.0004016343115906002,-0.2538126297153589,3.692548489198089e-10,8.62200977280736e-10,1.258740667253733e-09,-3.263014858312374e-15,8.659739592076221e-15,5.551115123125783e-15,0,0
772.8,1800,100.4069624262229,1000,285.0225833564077,1246564.701267423,0.04998955777192754,24.98170171815966,1391.078143334007,800,283.8928166575236,1117027.515865101,0.04949007545474381,24.73501298734597,1290.671180907784,0.4998955777192754,0.494900754547438,0.0004,0.0007253694472622701,0.0004016278497048916,-0.2545896130178029,2.164597390219569e-10,9.167706593871117e-10,1.149601303040981e-09,-4.231857919645421e-15,5.384581669432009e-15,1.332267629550188e-15,0,0
775.2,1800,100.4053663505676,1000,285.0225533909121,1246561.36682847,0.04998954980213267,24.98169781899658,1391.075391564246,800,283.8928032147898,1116991.068888682,0.04948852077660976,24.7342360109521,1290.670025213678,0.4998954980213267,0.4948852077660976,0.0004,0.0007253602017094236,0.0004016214654022706,-0.2553665894116719,4.43833414465189e-10,7.821654435247183e-10,1.251464709639549e-09,-1.941155569618047e-15,1.199040866595169e-14,1.02695629777827e-14,0,0
777.6,1800,100.4037894388191,1000,285.0225237853142,1246558.070863213,0.04998954186482436,24.98169393506399,1391.072672849101,800,283.8927899336189,1116954.639075667,0.04948696611291316,24.73345904138392,1290.668883410282,0.4998954186482436,0.4948696611291316,0.0004,0.0007253510672822539,0.0004016151577552764,-0.2561435589798506,4.292814992368221e-10,8.985807653516531e-10,1.353328116238117e-09,-8.586881206085195e-17,5.828670879282072e-15,5.995204332975845e-15,0,0
780,1800,100.4022314605788,1000,285.0224945352871,1246554.81290904,0.04998953395961197,24.98169006617874,1391.06998679099,800,283.8927768120665,1116918.226218982,0.0494854114634798,24.7326820785591,1290.667755330412,0.4998953395961196,0.494854114634798,0.0004,0.0007253420426432931,0.0004016089258423153,-0.2569205218046662,3.128661774098873e-10,8.512870408594608e-10,9.604264050722122e-10,-5.014218207310961e-15,9.492406860545088e-15,4.718447854656915e-15,0,0
782.4,1800,100.4006921889907,1000,285.0224656365693,1246551.59251038,0.04998952608611083,24.98168621216049,1391.067332998426,800,283.8927638482178,1116881.830114726,0.04948385682813815,24.73190512239655,1290.666640809436,0.4998952608611083,0.4948385682813815,0.0004,0.0007253331264754851,0.0004016027687559626,-0.2576974779672234,4.220055416226387e-10,7.130438461899757e-10,1.389707904309034e-09,-6.879913305724017e-15,7.605027718682322e-15,8.881784197001252e-16,0,0
784.8,1800,100.3991713999994,1000,285.0224370849523,1246548.409217337,0.04998951824394107,24.98168237283117,1391.064711084791,800,283.8927510401825,1116845.450561546,0.04948230220671885,24.73112817281618,1290.665539684792,0.4998951824394106,0.4948230220671885,0.0004,0.0007253243174783329,0.0004015966855999977,-0.2584744275475899,2.037268131971359e-10,9.749783203005791e-10,1.200533006340265e-09,-1.873501354054952e-15,7.66053886991358e-15,5.939693181744587e-15,0,0
787.2,1800,100.397668870743,1000,285.0224088762502,1246545.262582393,0.04998951043272474,24.98167854801359,1391.062120665497,800,283.8927383860797,1116809.08735915,0.04948074759905341,24.73035122973835,1290.664451794754,0.4998951043272474,0.4948074759905341,0.0004,0.000725315614358029,0.000401590675482972,-0.2592513706254209,5.238689482212067e-10,7.676135282963514e-10,1.3169483281672e-09,6.357761539454998e-16,7.716050021144838e-15,8.548717289613705e-15,0,0
789.6,1800,100.396184380842,1000,285.022381006322,1246542.152162877,0.0499895026520881,24.98167473753252,1391.059561360168,800,283.8927258840488,1116772.740309423,0.04947919300497518,24.72957429308427,1290.663376979326,0.499895026520881,0.4947919300497517,0.0004,0.000725307015834609,0.0004015847375233679,-0.2600283072795051,2.582964953035116e-10,8.512870408594608e-10,1.360604073852301e-09,1.460637166772472e-15,7.327471962526033e-15,8.881784197001252e-15,0,0
